Name,Sub-Domain,Field,Country,Description,Dataset Link,File Count,Category,Original Format,Original Size (MB),JSONL Size (MB),Total Lines,Cleaned Size (MB),Cleaned Lines,License,Last Updated,Uploaded?,Cleaned?,Verified?,Is Synthetic?,Date Added,Author,Popularity,Tags,Note
pAILabs,Security Operations,Cybersecurity,Global,Infosec security Q&A pairs (2023–2024),https://huggingface.co/datasets/pAILabs/infosec-security-qa,1,Dataset,JSONL,13.5,13.5,11185,30.112,11884,Apache-2.0,2025,Yes,Yes,Yes,Yes,18/6/2026,,,,
AlicanKiraz0,Security Operations,Cybersecurity,Global,Broad cybersecurity instruction/Q&A dataset,https://huggingface.co/datasets/AlicanKiraz0/Cybersecurity-Dataset-Fenrir-v2.1,1,Dataset,JSONL,411.2,411.2,99870,,,Apache-2.0,2026,Yes,,Yes,Yes,18/6/2026,,,,
reloading0101,Threat Intelligence,Cybersecurity,Global,Threat-intelligence instruction/Q&A data,https://huggingface.co/datasets/reloading0101/threat-intelligence-dataset,4,Dataset,JSONL,35.7,35.7,23699,51.162,21601,CC BY-4.0,2026,Yes,Yes,Yes,Yes,18/6/2026,,,,
Shomi28,Threat Intelligence,Cybersecurity,Global,CVE data + MITRE ATT&CK techniques + instructions,https://huggingface.co/datasets/Shomi28/cyber-threat-intelligence,4,Dataset,Parquet,5.3,24.1,21463,31.166,13430,MIT,2026,Yes,Yes,Yes,,18/6/2026,,,,
ramoliyafenil,Threat Intelligence,Cybersecurity,Global,Text-based cyber-threat detection (NER/classification),https://www.kaggle.com/datasets/ramoliyafenil/text-based-cyber-threat-detection/,4,Dataset,CSV,5.4,5.4,19464,3.599,7091,Apache-2.0,2024,Yes,Yes,Yes,,18/6/2026,,,,
chethuhn,Network Security,Cybersecurity,Global,Week of labeled network traffic (benign + attacks),https://www.kaggle.com/datasets/chethuhn/network-intrusion-dataset,7,Dataset,CSV,628.9,3714.9,2138040,,,CC0: Public domain,2023,Yes,,Yes,,18/6/2026,,,,
algozee,"Governance, Risk and Compliance",Cybersecurity,Global,"Corporate compliance, risk assessment, and regulatory framework data.",https://www.kaggle.com/datasets/algozee/cyber-security,3,Dataset,CSV,0.68,1.75,1986,0.081,57,CC BY-4.0,2026,Yes,Yes,Yes,,18/6/2026,,,,
mjbommar,Threat Intelligence,Cybersecurity,Global,Static metadata + tokens for ~30k binaries,https://huggingface.co/datasets/mjbommar/binary-30k,2,Dataset,Parquet,10800,14485.99,10618,,,CC BY-4.0,2025,Yes,,Yes,,18/6/2026,,,,
DikeDataset,Threat Intelligence,Cybersecurity,Global,DikeDataset benign and malware PE labels,https://github.com/iosifache/DikeDataset,2,Dataset,CSV,1.9,3,11923,,,MIT,2021,Yes,,Yes,,19/6/2026,,,,
phiusiil+phishing+url+dataset,Threat Intelligence,Cybersecurity,Global,UCI PhiUSIIL phishing URLs (235k),https://archive.ics.uci.edu/static/public/967/phiusiil+phishing+url+dataset.zip,1,Dataset,CSV,54.2,253.3,235795,,,CC BY 4.0,-,Yes,,Yes,,19/6/2026,,,,
mitre-attack,Threat Intelligence,Cybersecurity,Global,MITRE ATT&CK Enterprise,https://raw.githubusercontent.com/mitre-attack/attack-stix-data/master/enterprise-attack/enterprise-attack.json,1,Feed,JSON,50.8,2.8,858,,,Apache-2.0 / MITRE ATT&CK Terms (free use w/ attribution),2026,Yes,,Yes,,19/6/2026,,,,
mitre-attack-ics,Threat Intelligence,Cybersecurity,Global,MITRE ATT&CK ICS,https://raw.githubusercontent.com/mitre-attack/attack-stix-data/master/ics-attack/ics-attack.json,1,Feed,JSON,3.9,0.3,118,,,Apache-2.0 / MITRE ATT&CK Terms (free use w/ attribution),2026,Yes,,Yes,,19/6/2026,,,,
mitre-attack-mobile,Threat Intelligence,Cybersecurity,Global,MITRE ATT&CK Mobile,https://raw.githubusercontent.com/mitre-attack/attack-stix-data/master/mobile-attack/mobile-attack.json,1,Feed,JSON,5.5,0.4,190,,,Apache-2.0 / MITRE ATT&CK Terms (free use w/ attribution),2026,Yes,,Yes,,19/6/2026,,,,
mitre-attack-web,Threat Intelligence,Cybersecurity,Global,MITRE ATT&CK technique pages,https://attack.mitre.org/techniques/enterprise/,1,Website,HTML,-,1.2,70,,,MITRE ATT&CK Terms (free w/ attribution),2026,Yes,,Yes,,19/6/2026,,,,
nist-fips-203-mlkem,Cryptography,Cybersecurity,Global,NIST FIPS 203 ML-KEM (PQC),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,1,Document,PDF,1.2,0.1,56,0.131,56,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2024,Yes,Yes,Yes,,19/6/2026,,,,
nist-fips-204-mldsa,Cryptography,Cybersecurity,Global,NIST FIPS 204 ML-DSA (PQC),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.204.pdf,1,Document,PDF,3.1,0.2,65,0.16,65,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2024,Yes,Yes,Yes,,19/6/2026,,,,
nist-fips-205-slhdsa,Cryptography,Cybersecurity,Global,NIST FIPS 205 SLH-DSA (PQC),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.205.pdf,1,Document,PDF,1,0.1,61,0.143,60,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2024,Yes,Yes,Yes,,19/6/2026,,,,
nist-sp800-208,Cryptography,Cybersecurity,Global,NIST SP 800-208 Hash-Based Signatures,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-208.pdf,1,Document,PDF,0.8,0.1,59,0.117,59,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2020,Yes,Yes,Yes,,19/6/2026,,,,
nist-sp800-57,Cryptography,Cybersecurity,Global,NIST SP 800-57 Key Management,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-57pt1r5.pdf,1,Document,PDF,1.6,0.5,171,0.5,168,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2020,Yes,Yes,Yes,,19/6/2026,,,,
nist-sp800-122,Data Security and Privacy,Cybersecurity,Global,NIST SP 800-122 Protecting PII,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-122.pdf,1,Document,PDF,0.8,0.2,59,0.177,59,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2010,Yes,Yes,Yes,,19/6/2026,,,,
nist-sp800-30r1,"Governance, Risk and Compliance",Cybersecurity,Global,NIST SP 800-30r1 Guide for Conducting Risk Assessments,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-30r1.pdf,1,Document,PDF,0.8,0.3,95,0.325,94,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2012,Yes,Yes,Yes,,19/6/2026,,,,
nist-sp800-37r2,"Governance, Risk and Compliance",Cybersecurity,Global,NIST SP 800-37r2 Risk Management Framework,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-37r2.pdf,1,Document,PDF,2.2,0.7,183,0.605,183,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2018,Yes,Yes,Yes,,19/6/2026,,,,
nist-sp800-53r5,"Governance, Risk and Compliance",Cybersecurity,Global,NIST SP 800-53r5 Security & Privacy Controls,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-53r5.pdf,1,Document,PDF,5.8,1.7,492,1.565,486,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2021,Yes,Yes,Yes,,19/6/2026,,,,
nist-sp800-63b,Identity Access and Management,Cybersecurity,Global,NIST SP 800-63B Digital Identity,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-63b.pdf,1,Document,PDF,1.4,0.2,80,0.2,78,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2017,Yes,Yes,Yes,,19/6/2026,,,,
nist-sp800-184,Incident Response and Forensics,Cybersecurity,Global,NIST SP 800-184 Cybersecurity Event Recovery,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-184.pdf,1,Document,PDF,0.8,0.2,53,0.148,52,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2016,Yes,Yes,Yes,,19/6/2026,,,,
nist-sp800-61,Incident Response and Forensics,Cybersecurity,Global,NIST SP 800-61r2 Incident Handling Guide,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-61r2.pdf,1,Document,PDF,1.7,0.2,80,0.233,80,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2012,Yes,Yes,Yes,,19/6/2026,,,,
nist-sp800-86,Incident Response and Forensics,Cybersecurity,Global,NIST SP 800-86 Forensic Techniques,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-86.pdf,1,Document,PDF,2.7,0.4,120,0.384,117,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2006,Yes,Yes,Yes,,19/6/2026,,,,
nist-sp800-94,Network Security,Cybersecurity,Global,NIST SP 800-94 IDS/IPS,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-94.pdf,1,Document,PDF,1,0.4,127,0.377,123,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2007,Yes,Yes,Yes,,19/6/2026,,,,
nist-sp800-115,Penetration Testing,Cybersecurity,Global,NIST SP 800-115 Security Testing,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf,1,Document,PDF,0.5,0.3,80,0.255,80,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2008,Yes,Yes,Yes,,19/6/2026,,,,
nist-sp800-40r4,Vulnerability Management,Cybersecurity,Global,NIST SP 800-40r4 Enterprise Patch Management,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-40r4.pdf,1,Document,PDF,0.5,0.1,28,0.077,28,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2022,Yes,Yes,Yes,,19/6/2026,,,,
nist-sp800-92,Security Operations,Cybersecurity,Global,NIST SP 800-92 Log Management,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-92.pdf,1,Document,PDF,1.7,0.2,63,0.193,62,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2006,Yes,Yes,Yes,,19/6/2026,,,,
nist-sp800-150,Threat Intelligence,Cybersecurity,Global,NIST SP 800-150 Cyber Threat Information Sharing,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-150.pdf,1,Document,PDF,0.5,0.1,43,0.126,42,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2016,Yes,Yes,Yes,,19/6/2026,,,,
cisa-kev,Threat Intelligence,Cybersecurity,Global,CISA Known Exploited Vulnerabilities,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,1,Feed,JSON,1.4,1.1,1623,0.962,1578,Public Domain (CISA),2026,Yes,Yes,Yes,,19/6/2026,,,,
india-it-act-2000,"Governance, Risk and Compliance",Cybersecurity,India,India Information Technology Act 2000,https://www.indiacode.nic.in/bitstream/123456789/13116/1/it_act_2000_updated.pdf,1,Document,PDF,0.8,0.1,36,0.129,36,Government of India (official gazette / open publication),2000,Yes,Yes,Yes,,19/6/2026,,,,
india-dpdp-act-2023,Data Security and Privacy,Cybersecurity,India,India Digital Personal Data Protection Act 2023,https://www.meity.gov.in/static/uploads/2024/06/2bf1f0e9f04e6fb4f8fef35e82c42aa5.pdf,1,Document,PDF,0.2,0.1,21,0.067,21,Government of India (official gazette / open publication),2023,Yes,Yes,Yes,,19/6/2026,,,,
capec-web,Penetration Testing,Cybersecurity,Global,MITRE CAPEC attack patterns,https://capec.mitre.org/data/definitions/1000.html,1,Website,HTML,-,1.2,70,0.524,68,MITRE CAPEC Terms (free w/ attribution),2018,Yes,Yes,Yes,,19/6/2026,,,,
AlicanKiraz0,Application Security,Cybersecurity,Global,Web-sec Q&A (XSS/SQLi/CSRF),https://huggingface.co/datasets/AlicanKiraz0/Cybersecurity-Dataset-v1,1,Dataset,Parquet,3.7,10,2411,,,Apache-2.0,2025,Yes,,Yes,Yes,19/6/2026,,,,
ossf-malicious-packages,Application Security,Cybersecurity,Global,OSV records of known-malicious npm/PyPI/etc packages (software supply-chain / CI-CD).,https://github.com/ossf/malicious-packages,1,Repository,repo,-,454.86,227851,58.756,39849,Apache-2.0,2026,Yes,Yes,Yes,,19/6/2026,,,,
ispangler,Application Security,Cybersecurity,Global,HTTP CSIC 2010 web attacks,https://www.kaggle.com/datasets/ispangler/csic-2010-web-application-attacks,1,Dataset,CSV,28.2,42.7,61065,9.52,7961,Data files © Original Authors,2019,Yes,Yes,Yes,,19/6/2026,,,,
cyberprince,Application Security,Cybersecurity,Global,Web attack payloads,https://www.kaggle.com/datasets/cyberprince/web-application-payloads-dataset,1,Dataset,JSONL,0.2,0.1,500,0.085,152,MIT,2025,Yes,Yes,Yes,,19/6/2026,,,,
nobukim,Cloud Security,Cybersecurity,Global,AWS CloudTrail attack logs,https://www.kaggle.com/datasets/nobukim/aws-cloudtrails-dataset-from-flaws-cloud,2,Dataset,CSV,1786.6,3107,3878414,,,Apache-2.0,2023,Yes,,Yes,,19/6/2026,,,,
ai4privacy-pii-masking-200k,Data Security and Privacy,Cybersecurity,Global,PII detection / masking (200k),https://huggingface.co/datasets/ai4privacy/pii-masking-200k,4,Dataset,JSONL,333.7,333.7,209261,105.827,53184,Contact,2024,Yes,Yes,Yes,Yes,19/6/2026,,,,
ai4privacy-pii-masking-300k,Data Security and Privacy,Cybersecurity,Global,PII detection / masking (300k),https://huggingface.co/datasets/ai4privacy/pii-masking-300k,12,Dataset,JSONL,694.1,694.1,225405,,,Contact,2024,Yes,,Yes,Yes,19/6/2026,,,,
lako65,Identity Access and Management,Cybersecurity,Global,SSH brute-force attempts,https://www.kaggle.com/datasets/lako65/ssh-brute-force-ipuserpassword,1,Dataset,JSON,4.6,3,14795,,,Data files © Original Authors,2018,Yes,,Yes,,19/6/2026,,,,
rasikaekanayakadevlk,Identity Access and Management,Cybersecurity,Global,Behavioral auth signals,https://www.kaggle.com/datasets/rasikaekanayakadevlk/user-activity-dataset,1,Dataset,JSON,0.2,0.2,437,,,MIT,2025,Yes,,Yes,Yes,19/6/2026,,,,
darkknight25,Incident Response and Forensics,Cybersecurity,Global,IR playbooks,https://huggingface.co/datasets/darkknight25/Incident_Response_Playbook_Dataset,1,Dataset,JSONL,0.2,0.2,14,,,MIT,2025,Yes,,Yes,Yes,19/6/2026,,,,
saurabhshahane-classification-of-malwares,Threat Intelligence,Cybersecurity,Global,CLaMP PE malware classification,https://www.kaggle.com/datasets/saurabhshahane/classification-of-malwares,2,Dataset,CSV,2.2,11.6,10394,,,CC BY 4.0,2021,Yes,,Yes,,19/6/2026,,,,
Microsoft,Incident Response and Forensics,Cybersecurity,Global,GUIDE SOC incident triage,https://www.kaggle.com/datasets/Microsoft/microsoft-security-incident-prediction,2,Dataset,CSV,3350.7,3873.9,4147992,,,CDLA-Permissive-2.0,2024,Yes,,Yes,,20/6/2026,,,,
shashwatwork-android-malware-dataset-for-machine-learning,Threat Intelligence,Cybersecurity,Global,Android malware features (Drebin),https://www.kaggle.com/datasets/shashwatwork/android-malware-dataset-for-machine-learning,2,Dataset,CSV,6.2,75.5,15251,,,CC BY 4.0,2021,Yes,,Yes,,20/6/2026,,,,
dannyrevaldo,Threat Intelligence,Cybersecurity,Global,Android malware detection,https://www.kaggle.com/datasets/dannyrevaldo/android-malware-detection-dataset,1,Dataset,CSV,2.8,41.9,4464,,,MIT,2024,Yes,,Yes,,20/6/2026,,,,
joebeachcapital,Threat Intelligence,Cybersecurity,Global,Windows PE malware features,https://www.kaggle.com/datasets/joebeachcapital/windows-malwares,4,Dataset,CSV,1290.1,500.4,89065,,,CC BY 4.0,2023,Yes,,Yes,,20/6/2026,,,,
malicious-urls-dataset,Penetration Testing,Cybersecurity,Global,651k malicious URLs,https://www.kaggle.com/datasets/sid321axn/malicious-urls-dataset,1,Dataset,CSV,43.5,56.6,651191,,,CC0,2021,Yes,,Yes,,20/6/2026,,,,
cybersecurity-intrusion-detection-dataset,Security Operations,Cybersecurity,Global,Login/session intrusion,https://www.kaggle.com/datasets/dnkumars/cybersecurity-intrusion-detection-dataset,1,Dataset,CSV,0.7,2.5,9537,,,MIT,2025,Yes,,Yes,Yes,20/6/2026,,,,
phishing-dataset,Threat Intelligence,Cybersecurity,Global,Phishing URLs / emails / HTML,https://huggingface.co/datasets/ealvaradob/phishing-dataset,2,Dataset,JSON,563.3,552,871590,80.541,7972,Apache-2.0,2024,Yes,Yes,Yes,,20/6/2026,,,,
phishing_benign_email_dataset,Threat Intelligence,Cybersecurity,Global,Phishing/benign email,https://huggingface.co/datasets/darkknight25/phishing_benign_email_dataset,1,Dataset,JSONL,0.1,0.1,200,0.081,156,MIT,2024,Yes,Yes,Yes,Yes,20/6/2026,,,,
web-page-phishing-detection-dataset,Threat Intelligence,Cybersecurity,Global,Web-page phishing features,https://www.kaggle.com/datasets/shashwatwork/web-page-phishing-detection-dataset,1,Dataset,CSV,3.5,18.5,11430,,,CC BY-4.0,2025,Yes,,Yes,,20/6/2026,,,,
sslbl-ja3-fingerprints,Network Security,Cybersecurity,Global,abuse.ch SSLBL malicious JA3 TLS client fingerprints.,https://sslbl.abuse.ch/blacklist/ja3_fingerprints.csv,1,Feed,CSV,0.01,0.02,96,,,CC0-1.0,2021,Yes,,Yes,,20/6/2026,,,,
reddelexc,Penetration Testing,Cybersecurity,Global,Curated disclosed HackerOne bug-bounty reports (markdown).,https://github.com/reddelexc/hackerone-reports,1,Repository,-,-,2.5,82,,,MIT,2026,Yes,,Yes,,20/6/2026,,,,
sigma-rules,Security Operations,Cybersecurity,Global,Sigma generic SIEM detection rules (YAML) across log sources.,https://github.com/SigmaHQ/sigma,1,Repository,-,-,5.96,3751,,,Detection Rule License 1.1,2026,Yes,,Yes,,20/6/2026,,,,
atomic-red-team,Security Operations,Cybersecurity,Global,Atomic Red Team ATT&CK-mapped adversary emulation tests (YAML).,https://github.com/redcanaryco/atomic-red-team,1,Repository,-,-,53.99,344,,,MIT,2026,Yes,,Yes,,20/6/2026,,,,
dynamic-malware-api-calls,Threat Intelligence,Cybersecurity,Global,Windows API call sequences from dynamic (sandbox) malware analysis.,https://www.kaggle.com/datasets/marcuscarpenter97/api-calls-generated-by-dynamic-malware-analysis,4,Dataset,JSONL,2427.1,1430.97,8102,,,CC BY 4.0,2023,Yes,,Yes,,20/6/2026,,,,
NIST.SP.800-207,Network Security,Cybersecurity,Global,Zero Trust Architecture,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-207.pdf,1,Document,PDF,0.92,0.16,Yes,0.154,58,"Public Domain (NIST, U.S. Gov)",2020,Yes,Yes,Yes,,20/6/2026,,,,
slither-audited-smart-contracts,Cryptography,Cybersecurity,Global,Solidity smart contracts (source+bytecode) labelled with Slither vulnerability classes.,https://huggingface.co/datasets/mwritescode/slither-audited-smart-contracts,9,Dataset,Parquet,1658.7,5119.84,117377,723.295,12485,MIT,2022,Yes,Yes,Yes,,20/6/2026,,,,
smart-contract-vulnerability-dataset,Cryptography,Cybersecurity,Global,Smart-contract code snippets annotated with vulnerability type.,https://huggingface.co/datasets/darkknight25/Smart_Contract_Vulnerability_Dataset,1,Dataset,JSONL,1.1,0.01,12,,,MIT,2025,Yes,,Yes,Yes,20/6/2026,,,,
yara-signature-base,Threat Intelligence,Cybersecurity,Global,Florian Roth signature-base YARA rules for threat detection.,https://github.com/Neo23x0/signature-base,1,Repository,-,-,7.14,747,,,Detection Rule License (DRL) 1.1,2026,Yes,,Yes,,20/6/2026,,,,
aptnotes,Threat Intelligence,Cybersecurity,Global,APTnotes index of public APT threat-intel reports.,https://raw.githubusercontent.com/aptnotes/data/master/APTnotes.csv,1,Feed,CSV,0.15,0.2,689,,,Detection Rule License (DRL) 1.1,2024,Yes,,Yes,,20/6/2026,,,,
threatfox-iocs,Threat Intelligence,Cybersecurity,Global,abuse.ch ThreatFox IOCs (malware C2 / indicators).,https://threatfox.abuse.ch/export/csv/full/,1,Feed,CSV,2.85,14.28,79682,,,CC0-1.0,2026,Yes,,Yes,,20/6/2026,,,,
feodo-c2-tracker,Threat Intelligence,Cybersecurity,Global,abuse.ch Feodo Tracker botnet C2 server IP blocklist.,https://feodotracker.abuse.ch/downloads/ipblocklist.csv,1,Feed,CSV,0,0,5,,,CC0 1.0 Universal,2026,Yes,,Yes,,20/6/2026,,,,
urlhaus-malicious-urls,Threat Intelligence,Cybersecurity,Global,abuse.ch URLhaus malicious-URL feed.,https://urlhaus.abuse.ch/downloads/csv/,1,Feed,CSV,1.91,7.31,52849,,,CC0 1.0 Universal,2026,Yes,,Yes,,20/6/2026,,,,
20220601-crypto-club-PQC,Cryptography,Cybersecurity,Global,The First NIST PQC Standards,https://csrc.nist.gov/csrc/media/Presentations/2022/the-first-nist-pqc-standards/images-media/sess-3-chen-first-pqc-stds-cryptoclub-june2022.pdf,1,Document,PDF,6.1,0.03,59,,,US-Gov-Public-Domain,-,Yes,,Yes,,22/06/2026,,,,
2025093pap,Cryptography,Cybersecurity,Global,"""Harvest Now Decrypt Later"": Examining Post-Quantum Cryptography and the Data Privacy Risks for Distributed Ledger Networks",https://www.federalreserve.gov/econres/feds/files/2025093pap.pdf,1,Document,PDF,0.38,0.07,22,0.063,22,US-Gov-Public-Domain,-,Yes,Yes,Yes,,22/06/2026,,,,
CSA_CNSA_2.0_ALGORITHMS,Cryptography,Cybersecurity,Global,CSA CNSA 2.0 ALGORITHMS,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,1,Document,PDF,0.56,0.02,10,0.017,10,NSA CNSA 2..0,-,Yes,Yes,Yes,,22/06/2026,,,,
